,Row,ASIN,TITLE,GROUP,SALES_RANK,TIMES_REVIEWED,TIMES_DOWNLOADED,AVERAGE_RATING,MAIN_CATEGORY,SUB_CATEGORIES
96,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,R&B[39],"['Soul[67186]', 'General[67188]']"
97,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Jazz[34],"['Compilations[465998]', 'General[466000]']"
98,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
99,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Jazz[34],['Smooth Jazz[468298]']
100,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Jazz[34],['Soul-Jazz & Boogaloo[500060]']
101,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Jazz[34],"['Bebop[598174]', 'Hard Bop[598176]']"
102,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Pop[37],"['Easy Listening[67171]', 'Orchestral Pop[604208]']"
103,34,B000068GA4,Danzig II: Lucifuge,Music,8760,22,22,5.0,Rock[40],['General[67206]']
104,34,B000068GA4,Danzig II: Lucifuge,Music,8760,22,22,5.0,Hard Rock & Metal[67207],['Alternative Metal[67208]']
105,34,B000068GA4,Danzig II: Lucifuge,Music,8760,22,22,5.0,Hard Rock & Metal[67207],['General[67212]']
106,35,B000068GA5,Undisputed Attitude,Music,44279,29,29,4.0,Hard Rock & Metal[67207],['General[67212]']
107,35,B000068GA5,Undisputed Attitude,Music,44279,29,29,4.0,Hard Rock & Metal[67207],['Thrash & Speed Metal[468416]']
108,36,B000002NHU,What's Your Name,Music,10376,39,39,4.0,Miscellaneous[35],['General[170942]']
109,36,B000002NHU,What's Your Name,Music,10376,39,39,4.0,Miscellaneous[35],"['Comedy[63936]', 'General[466982]']"
110,36,B000002NHU,What's Your Name,Music,10376,39,39,4.0,Miscellaneous[35],"['Comedy[63936]', 'Contemporary Comedy[466990]']"
111,36,B000002NHU,What's Your Name,Music,10376,39,39,4.0,Miscellaneous[35],"['Comedy[63936]', 'Comedic Music[603176]', 'General[603180]']"
112,37,B000068GA3,Danzig III: How the Gods Kill,Music,49201,10,5,4.5,Rock[40],['General[67206]']
113,37,B000068GA3,Danzig III: How the Gods Kill,Music,49201,10,5,4.5,Hard Rock & Metal[67207],['Alternative Metal[67208]']
114,37,B000068GA3,Danzig III: How the Gods Kill,Music,49201,10,5,4.5,Hard Rock & Metal[67207],['General[67212]']
115,38,B000002NHN,The Book of Secrets,Music,1581,416,5,5.0,New Age[36],['Celtic New Age[63955]']
116,38,B000002NHN,The Book of Secrets,Music,1581,416,5,5.0,New Age[36],['General[63957]']
117,38,B000002NHN,The Book of Secrets,Music,1581,416,5,5.0,International[33],"['Celtic[63760]', 'General[13463761]']"
118,38,B000002NHN,The Book of Secrets,Music,1581,416,5,5.0,International[33],"['Celtic[63760]', 'New Age[13463771]']"
119,38,B000002NHN,The Book of Secrets,Music,1581,416,5,5.0,International[33],"['Celtic[63760]', 'Fusion[13463781]']"
120,39,B000002NHJ,Fresh Meat,Music,143353,3,3,4.0,Dance & DJ[7],['General[63709]']
121,39,B000002NHJ,Fresh Meat,Music,143353,3,3,4.0,Dance & DJ[7],['Electronica[67218]']
122,40,B000002NHO,The Book of Secrets,Music,216328,416,415,5.0,New Age[36],['Celtic New Age[63955]']
123,40,B000002NHO,The Book of Secrets,Music,216328,416,415,5.0,New Age[36],['General[63957]']
124,40,B000002NHO,The Book of Secrets,Music,216328,416,415,5.0,International[33],"['Celtic[63760]', 'General[13463761]']"
125,40,B000002NHO,The Book of Secrets,Music,216328,416,415,5.0,International[33],"['Celtic[63760]', 'New Age[13463771]']"
126,40,B000002NHO,The Book of Secrets,Music,216328,416,415,5.0,International[33],"['Celtic[63760]', 'Fusion[13463781]']"
127,41,B000002NHD,I Couldn't Hear Nobody Pray,Music,59945,5,5,4.0,Christian & Gospel[173429],['General[63941]']
128,41,B000002NHD,I Couldn't Hear Nobody Pray,Music,59945,5,5,4.0,Christian & Gospel[173429],['Gospel[63943]']
129,42,B000002NHF,Another Time Another Place,Music,129019,4,4,4.5,Jazz[34],['General[63926]']
130,42,B000002NHF,Another Time Another Place,Music,129019,4,4,4.5,Jazz[34],"['Swing Jazz[598152]', 'Swing General[63932]']"
131,42,B000002NHF,Another Time Another Place,Music,129019,4,4,4.5,Broadway & Vocalists[265640],['Traditional Vocal Pop[513060]']
132,43,B000002NHG,The Dance,Music,6383,145,144,4.5,Classic Rock[67204],['Album-Oriented Rock (AOR)[408254]']
133,43,B000002NHG,The Dance,Music,6383,145,144,4.5,Classic Rock[67204],['General[549048]']
134,44,B000002NHC,Live at the BBC,Music,137153,9,5,4.5,Rock[40],['Blues Rock[67203]']
135,44,B000002NHC,Live at the BBC,Music,137153,9,5,4.5,Classic Rock[67204],['Psychedelic Rock[67220]']
136,44,B000002NHC,Live at the BBC,Music,137153,9,5,4.5,Classic Rock[67204],['British Invasion[292807]']
137,44,B000002NHC,Live at the BBC,Music,137153,9,5,4.5,Classic Rock[67204],"['Live Albums[554478]', 'General[497032]']"
138,44,B000002NHC,Live at the BBC,Music,137153,9,5,4.5,Classic Rock[67204],['General[549048]']
139,45,B000002NHA,Evita: Music From The Motion Picture,Music,6716,132,132,4.5,Soundtracks[42],['Movie Soundtracks[67226]']
140,45,B000002NHA,Evita: Music From The Motion Picture,Music,6716,132,132,4.5,Broadway & Vocalists[265640],"['Musicals[510678]', 'General[67227]']"
141,45,B000002NHA,Evita: Music From The Motion Picture,Music,6716,132,132,4.5,Pop[37],['Pop Rock[284720]']
142,45,B000002NHA,Evita: Music From The Motion Picture,Music,6716,132,132,4.5,Soundtracks[42],['General[292522]']
143,45,B000002NHA,Evita: Music From The Motion Picture,Music,6716,132,132,4.5,Soundtracks[42],"['By Decade[466308]', '1990s[466314]']"
144,45,B000002NHA,Evita: Music From The Motion Picture,Music,6716,132,132,4.5,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
145,45,B000002NHA,Evita: Music From The Motion Picture,Music,6716,132,132,4.5,Pop[37],"['Adult Contemporary[67167]', 'General[468116]']"
146,46,B00005QSS2,Live At Gilley's,Music,38223,0,0,0.0,Country[16],['General[63695]']
147,46,B00005QSS2,Live At Gilley's,Music,38223,0,0,0.0,Country[16],"['Bluegrass[63690]', 'General[468112]']"
148,46,B00005QSS2,Live At Gilley's,Music,38223,0,0,0.0,Country[16],"['Live Albums[497066]', 'Bluegrass[497072]']"
149,46,B00005QSS2,Live At Gilley's,Music,38223,0,0,0.0,Country[16],"['Bluegrass[63690]', 'Contemporary[598638]']"
150,46,B00005QSS2,Live At Gilley's,Music,38223,0,0,0.0,Country[16],"['Bluegrass[63690]', 'Traditional[598640]']"
151,47,B00000I9P0,Cobra: Original Motion Picture Soundtrack (1986 Film),Music,54309,3,3,5.0,International[33],"['Reggae[63885]', 'General[63888]']"
152,47,B00000I9P0,Cobra: Original Motion Picture Soundtrack (1986 Film),Music,54309,3,3,5.0,Soundtracks[42],['Movie Soundtracks[67226]']
153,47,B00000I9P0,Cobra: Original Motion Picture Soundtrack (1986 Film),Music,54309,3,3,5.0,Soundtracks[42],['General[292522]']
154,47,B00000I9P0,Cobra: Original Motion Picture Soundtrack (1986 Film),Music,54309,3,3,5.0,Classic Rock[67204],['Album-Oriented Rock (AOR)[408254]']
155,48,B00000I9P1,When Seconds Count,Music,38608,0,0,0.0,,
156,49,B000001VP6,Christmas at Boots' Place,Music,88399,2,2,5.0,Country[16],['General[63695]']
157,49,B000001VP6,Christmas at Boots' Place,Music,88399,2,2,5.0,Country[16],"['Traditional Country[63700]', 'Nashville Sound[63697]']"
158,49,B000001VP6,Christmas at Boots' Place,Music,88399,2,2,5.0,Jazz[34],['General[63926]']
159,49,B000001VP6,Christmas at Boots' Place,Music,88399,2,2,5.0,Pop[37],['Pop Rock[284720]']
160,49,B000001VP6,Christmas at Boots' Place,Music,88399,2,2,5.0,Miscellaneous[35],"['Holiday[292572]', 'General Christmas[515048]']"
161,49,B000001VP6,Christmas at Boots' Place,Music,88399,2,2,5.0,Miscellaneous[35],"['Holiday[292572]', 'Pop Instrumental & Easy Listening[515054]']"
162,50,B00000I9PK,Rachel's Song,Music,37338,3,3,5.0,,
163,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Jazz[34],"['Swing Jazz[598152]', 'Swing General[63932]']"
164,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Pop[37],"['By Decade[465378]', '1950s[465380]']"
165,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Broadway & Vocalists[265640],['Traditional Vocal Pop[513060]']
166,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Pop[37],"['Vocal Pop[406646]', 'General[513062]']"
167,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Miscellaneous[35],"['Holiday[292572]', 'General Christmas[515048]']"
168,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Miscellaneous[35],"['Holiday[292572]', 'Pop Vocal[515056]']"
169,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Pop[37],"['Vocal Pop[406646]', 'Classic[604206]']"
170,51,B000001VP0,Merry Christmas from Doris Day & Dinah Shore,Music,206743,1,1,4.0,Miscellaneous[35],"['Compilations[466080]', 'Decades[13463551]', '1950-1959[13463611]']"
171,52,B0000296JH,The Insider: Music From The Motion Picture,Music,5204,31,31,4.5,Alternative Rock[30],"['British Alternative[602074]', 'General[5182]']"
172,52,B0000296JH,The Insider: Music From The Motion Picture,Music,5204,31,31,4.5,Soundtracks[42],['Movie Scores[67225]']
173,52,B0000296JH,The Insider: Music From The Motion Picture,Music,5204,31,31,4.5,Soundtracks[42],['Movie Soundtracks[67226]']
174,52,B0000296JH,The Insider: Music From The Motion Picture,Music,5204,31,31,4.5,Soundtracks[42],['General[292522]']
175,52,B0000296JH,The Insider: Music From The Motion Picture,Music,5204,31,31,4.5,Soundtracks[42],"['By Decade[466308]', '1990s[466314]']"
176,53,B000004BTK,Midwinter Night's Dream,Music,59751,3,3,5.0,Folk[32],"['Traditional British & Celtic Folk[225373]', 'Irish Folk[63717]']"
177,53,B000004BTK,Midwinter Night's Dream,Music,59751,3,3,5.0,International[33],"['Europe[63777]', 'British Isles[63778]', 'Britain[63779]']"
178,53,B000004BTK,Midwinter Night's Dream,Music,59751,3,3,5.0,Miscellaneous[35],"['Holiday[292572]', 'General Christmas[515048]']"
179,53,B000004BTK,Midwinter Night's Dream,Music,59751,3,3,5.0,Miscellaneous[35],"['Holiday[292572]', 'Pop Vocal[515056]']"
180,53,B000004BTK,Midwinter Night's Dream,Music,59751,3,3,5.0,International[33],"['Celtic[63760]', 'General[13463761]']"
181,54,B0000296JO,Made in Japan,Music,76162,16,16,4.0,Dance & DJ[7],['General[63709]']
182,54,B0000296JO,Made in Japan,Music,76162,16,16,4.0,New Age[36],['General[63957]']
183,54,B0000296JO,Made in Japan,Music,76162,16,16,4.0,Dance & DJ[7],['World Dance[265168]']
184,54,B0000296JO,Made in Japan,Music,76162,16,16,4.0,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
185,55,B0000296JB,Make Yourself,Music,2439,545,5,4.5,Alternative Rock[30],['General[5191]']
186,55,B0000296JB,Make Yourself,Music,2439,545,5,4.5,Hard Rock & Metal[67207],['Alternative Metal[67208]']
187,55,B0000296JB,Make Yourself,Music,2439,545,5,4.5,Hard Rock & Metal[67207],['General[67212]']
188,55,B0000296JB,Make Yourself,Music,2439,545,5,4.5,Alternative Rock[30],"['Alternative Styles[468302]', 'Rock[602100]', 'General[301542]']"
189,55,B0000296JB,Make Yourself,Music,2439,545,5,4.5,Rock[40],['Funk Rock[408260]']
190,55,B0000296JB,Make Yourself,Music,2439,545,5,4.5,Rock[40],['Rap Rock[408262]']
191,56,B0000296JD,The Gift of Game,Music,15069,142,142,3.5,Hard Rock & Metal[67207],['Alternative Metal[67208]']
192,56,B0000296JD,The Gift of Game,Music,15069,142,142,3.5,Hard Rock & Metal[67207],['General[67212]']
193,56,B0000296JD,The Gift of Game,Music,15069,142,142,3.5,Rock[40],['Rap Rock[408262]']
194,57,B0000296JC,Make Yourself,Music,301940,545,544,4.5,Alternative Rock[30],['General[5191]']
195,57,B0000296JC,Make Yourself,Music,301940,545,544,4.5,Hard Rock & Metal[67207],['Alternative Metal[67208]']
196,57,B0000296JC,Make Yourself,Music,301940,545,544,4.5,Hard Rock & Metal[67207],['General[67212]']
197,57,B0000296JC,Make Yourself,Music,301940,545,544,4.5,Alternative Rock[30],"['Alternative Styles[468302]', 'Rock[602100]', 'General[301542]']"
198,57,B0000296JC,Make Yourself,Music,301940,545,544,4.5,Rock[40],['Funk Rock[408260]']
199,57,B0000296JC,Make Yourself,Music,301940,545,544,4.5,Rock[40],['Rap Rock[408262]']
200,58,B0000296JF,The Gift of Game [Clean],Music,148327,9,9,3.5,Hard Rock & Metal[67207],['Alternative Metal[67208]']
201,58,B0000296JF,The Gift of Game [Clean],Music,148327,9,9,3.5,Hard Rock & Metal[67207],['General[67212]']
202,58,B0000296JF,The Gift of Game [Clean],Music,148327,9,9,3.5,Rock[40],['Rap Rock[408262]']
203,59,B0000296JU,Awake and Breathe,Music,80719,68,68,4.0,Pop[37],['General[67172]']
204,59,B0000296JU,Awake and Breathe,Music,80719,68,68,4.0,Pop[37],['Teen Pop[302118]']
205,59,B0000296JU,Awake and Breathe,Music,80719,68,68,4.0,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
206,60,B000054483,Bird Songs,Music,368279,1,1,5.0,Alternative Rock[30],['General[5191]']
207,60,B000054483,Bird Songs,Music,368279,1,1,5.0,New Age[36],['General[63957]']
208,61,B0000296JW,Music Bank,Music,9217,42,42,4.5,Alternative Rock[30],['General[5191]']
209,61,B0000296JW,Music Bank,Music,9217,42,42,4.5,Hard Rock & Metal[67207],['Alternative Metal[67208]']
210,61,B0000296JW,Music Bank,Music,9217,42,42,4.5,Hard Rock & Metal[67207],['General[67212]']
211,61,B0000296JW,Music Bank,Music,9217,42,42,4.5,Alternative Rock[30],"['Alternative Styles[468302]', 'Rock[602100]', 'General[301542]']"
212,61,B0000296JW,Music Bank,Music,9217,42,42,4.5,Alternative Rock[30],"['Alternative Styles[468302]', 'Rock[602100]', 'Grunge[407486]']"
213,62,B0000296J9,Gunfighter Ballads & Trail Songs,Music,1310,42,42,5.0,Country[16],['Cowboy[63694]']
214,62,B0000296J9,Gunfighter Ballads & Trail Songs,Music,1310,42,42,5.0,Country[16],['General[63695]']
215,62,B0000296J9,Gunfighter Ballads & Trail Songs,Music,1310,42,42,5.0,Country[16],"['Traditional Country[63700]', 'Nashville Sound[63697]']"
216,63,B0000296J5,Stand By Your Man (Exp),Music,106870,4,4,5.0,Country[16],['General[63695]']
217,63,B0000296J5,Stand By Your Man (Exp),Music,106870,4,4,5.0,Country[16],['Honky-Tonk[63696]']
218,63,B0000296J5,Stand By Your Man (Exp),Music,106870,4,4,5.0,Country[16],"['Traditional Country[63700]', 'Nashville Sound[63697]']"
219,64,B0000296J3,Stardust,Music,1060,46,46,4.5,Country[16],['General[63695]']
220,64,B0000296J3,Stardust,Music,1060,46,46,4.5,Country[16],['Outlaw & Progressive Country[63699]']
